name,description,lat,lon,address,opening_hours,image_url1,image_url2,rating,reviews,review_1,review_2,review_3
Pearl Plaza,"Busy complex in Binh Thanh District with a supermarket, gym, and cinema.",10.799970128157575,106.71856299647641,"561A Dien Bien Phu, Ward 25, Binh Thanh District, HCMC",09:30 - 22:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1turI8w_FLgmGN8porbZr_5kUIlnq0mia8A&s,https://lh3.googleusercontent.com/proxy/Y2sR0-vrnU0AT8PPbQRSkKE8VeX3TuAdz5vCJoFTyM1aVj6DqmelWK_IFef4IkiBuCtLUVVR5wqUeekSp33A4KcOcP269Mvnlo5L5nMZ0rao,4.4,5600,"""Gym California here is big.""","""Supermarket in basement is good.""","""Elevators are slow."""
The Garden Mall,"Formerly Thuan Kieu Plaza, revitalized with a lantern theme and Asian dining.",10.7546172682387,106.65699969647612,"190 Hong Bang, Ward 12, District 5, HCMC",10:00 - 22:00,https://vinhomecitys.com/wp-content/uploads/2021/07/the-garden-mall-thua-n-kie-u-plaza-vi-sao-de-n-nay-va-n-hoang-va-ng.jpeg,https://cdn.xanhsm.com/2025/03/79e5e92c-toa-nha-the-garden-mall-thumb.jpg,4.1,4300,"""Lots of bubble tea shops.""","""Bookstore city is amazing.""","""Nice decor for photos."""
Ben Thanh Market,"Iconic symbol of Saigon, essential for souvenirs, handicrafts, and local fabric.",10.772506249621472,106.698042254149,"Le Loi Street, Ben Thanh Ward, District 1, HCMC",06:00 - 19:00,https://upload.wikimedia.org/wikipedia/commons/9/91/Ben_Thanh_market_2.jpg,https://vietnamtour.com/images/Vietnam_Attractions/Saigon/Ben-Thanh-Market-2_1b3ba.jpg,4.3,24100,"""You must bargain hard here.""","""Great local food stalls.""","""Watch out for pickpockets."""
Saigon Square,"Famous ""fashion market"" plaza, popular for haggling and export surplus clothes.",10.77273848938325,106.70024628298538,"77-89 Nam Ky Khoi Nghia, Ben Nghe Ward, District 1, HCMC",09:00 - 21:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLrSpP-ErCrbySVCwqJXZiHpMbgVs6hDtU8w&s,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/61/7a/e6/saigon-square-3.jpg?w=1200&h=-1&s=1,4.2,9500,"""Cheap clothes if you negotiate.""","""Very narrow aisles.""","""Good place for knock-offs."""
Sense Market (Central Market),"Underground shopping area beneath 23/9 Park, combines street food and fashion.",10.76929082926135,106.69372369647614,"4 Pham Ngu Lao, Pham Ngu Lao Ward, District 1, HCMC",10:00 - 22:00,https://image.sggp.org.vn/w1000/Uploaded/2025/zfuswurkxr/2019_09_24/pr9b_vegk_BOVG.jpg,https://dosi-in.com/images/news_content/22711/2020/07/06/the-new-playground-ra-mat-khu-mua-sam-duoi-long-dat-hoanh-trang-tai-sai-gon_2020_07_06_1.jpg,4.3,6100,"""Food court Asiana is tasty.""","""Cool concept underground.""","""Taka Plaza for cheap clothes."""
Emart Go Vap,"Massive Korean hypermarket, very trendy for youth photography and food.",10.823172203291794,106.69344016764028,"366 Phan Van Tri, Ward 5, Go Vap District, HCMC",07:30 - 22:30,https://cdn.xanhsm.com/2025/05/1b5c901e-emart-go-vap-2.jpg,https://danviet.ex-cdn.com/files/f1/296231569849192448/2023/12/4/emart-phan-huy-ich-170167072720972723148.jpg,4.6,16400,"""Bakery section smells divine.""","""Always packed on weekends.""","""Best prices for bulk buying."""
Emart Phan Huy Ich,"The second Emart in HCMC, huge floor space, newly opened in Tan Binh area.",10.841241989318897,106.63803919647673,"385 Phan Huy Ich, Ward 14, Go Vap District, HCMC",07:30 - 22:30,https://tongdaihoidap.com/wp-content/uploads/2025/04/emart-phan-huy-ich-385-phan-huy-ich-quan-go-vap.webp,https://510cic.com/upload/sanpham/emart---phan-huy-ich-3908.jpg,4.5,3500,"""Even bigger than the first one.""","""Parking is spacious.""","""Robot servers are cute."""
Vincom Plaza 3/2,"Compact mall in District 10, anchored by VinMart and a cinema.",10.776101649743984,106.68071802531264,"3C Ba Thang Hai, Ward 11, District 10, HCMC",10:00 - 22:00,https://kenh14cdn.com/203336854389633024/2024/7/6/photo-18-1720257847846591118749.jpg,https://mia.vn/media/uploads/blog-du-lich/vincom-plaza-cach-di-chuyen-1756048657.jpg,4.2,4800,"""Small but has everything.""","""Supermarket is convenient.""","""Not many fashion brands."""
Vincom Plaza Cong Hoa,Convenient shopping spot in Tan Binh District near the airport area.,10.800634205688015,106.65812223694901,"15-17 Cong Hoa, Ward 4, Tan Binh District, HCMC",10:00 - 22:00,https://odinland.com/wp-content/uploads/2020/07/cho-thue-mat-bang-trung-tam-thuong-mai-vincom-plaza-cong-hoa-7.jpg,https://statics.vincom.com.vn/containers/uu_dai/anh_thumbnail/anh-1jpg-1763702702698.webp/66db224fe5d3a2ac6a6df68371400209.webp,4.1,3900,"""Good location for meeting.""","""Cinema is rarely crowded.""","""Traffic jam outside often."""
Vincom Plaza Thu Duc,"Central hub for Thu Duc City area, traditional mall layout with many amenities.",10.850121063383373,106.76514291182238,"216 Vo Van Ngan, Binh Tho Ward, Thu Duc City, HCMC",09:30 - 22:00,https://statics.vincom.com.vn/vincom-tttm/gioi_thieu/anh_bai_viet/Vincom-Thu-Duc-1024x537.jpg,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/03/31/6a/trung-tam-tm-vincom-plaza.jpg?w=900&h=500&s=1,4.3,7200,"""Center of Thu Duc life.""","""Water park on roof is fun.""","""Old but reliable."""
Vincom Plaza Le Van Viet,"Serves District 9, large facade, includes gym, cinema, and shopping.",10.844983226532687,106.77862532531312,"50 Le Van Viet, Hiep Phu Ward, Thu Duc City, HCMC",09:30 - 22:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNy2dZayzO5Dh9UutQsVXNrimPuBTobIvyTA&s,https://kientrucviet.vn/wp-content/uploads/2022/06/vincom-le-van-viet-5.jpg,4.2,5100,"""Good gym facilities.""","""Standard Vincom experience.""","""Easy parking."""
Lotte Mart Phu Tho,"Situated at a major intersection in District 11, popular for family grocery shopping.",10.763500689391948,106.65681439647621,"968 Ba Thang Hai, Ward 15, District 11, HCMC",08:00 - 22:00,https://csdl.vietnamtourism.gov.vn/uploads/logo/01_3/CSDLDIEMMUASAM2020/HoChiMinh/TTTMLotteMartPhuThoQuan11/Logo.jpg,https://crescent.com.vn/wp-content/uploads/2025/05/khu-am-thuc-food-court-lotte-mart-phu-tho-68231f.webp,4.3,8400,"""Cheap rotisserie chicken.""","""Good for weekly groceries.""","""Bowling area is decent."""
Saigon Garden,"Boutique lifestyle mall on Walking Street, filled with greenery and restaurants.",10.77352158134725,106.70394630971299,"99 Nguyen Hue, Ben Nghe Ward, District 1, HCMC",08:00 - 22:00,https://mia.vn/media/uploads/blog-du-lich/check-in-saigon-garden-sang-chanh-01-1714697546.jpg,https://cdn.vntrip.vn/cam-nang/wp-content/uploads/2017/11/kien-truc-cua-saigon-garden-hoan-toan-khac-voi-nhung-toa-nha-gan-do.png,4.4,3100,"""Very instagrammable.""","""Restaurants are expensive.""","""Nice view of walking street."""
Cantavil Premier,Mixed-use complex in District 2 with a Parkson department store base (reduced).,10.801394362347523,106.74686964562007,"1 Song Hanh, An Phu Ward, District 2, HCMC",09:00 - 22:00,https://file4.batdongsan.com.vn/crop/720x480/2016/04/06/0I4XNtd4/20160406092817-3b65.jpg,https://data.cyberreal.vn/images/office/quan-2-moi/cantavil-premier-building/toa-nha-cantanvil-xa-lo-ha-noi.jpg,4.0,2800,"""Big supermarket inside.""","""Parkson part is quite empty.""","""Ticket cinema is cheap."""
RomeA Center,"Boutique center in District 3, features Bon Grocer and luxury cosmetics.",10.778415291606022,106.69022528298547,"117 Nguyen Dinh Chieu, Ward 6, District 3, HCMC",09:30 - 22:00,https://kimquanggroup.vn/hoanghung/37/images/trung-tam-thuong-mai-romea-13.jpg,https://gcs.tripi.vn/public-tripi/tripi-feed/img/474645Zwi/rm9.jpg,4.1,1900,"""Bon Grocer has imported goods.""","""Very quiet and clean.""","""Starbucks Reserve is nice."""
Terra Royal,"Luxury complex with a small shopping gallery, cinema, and 5-star hotel.",10.78885583604735,106.68557357046218,"83 Ly Chinh Thang, Ward 8, District 3, HCMC",09:00 - 22:00,https://ledinhphong.vn/wp-content/uploads/2020/11/anh-thuc-te-du-an-terra-royal-quan-3.jpg,https://photo.rever.vn/v3/get/BOasEqKHithMxvzLwzX17xE_u5VO4zLKiAr0i3uwdAo=/750x500/image.jpg,4.5,1200,"""Rooftop pool bar is fancy.""","""Cinema is very new.""","""Small shopping area."""
Bloq Thao Dien,"Open-air lifestyle container park, popular for dining and weekend markets.",10.804523164335839,106.7394276429815,"19 Tran Ngoc Dien, Thao Dien Ward, District 2, HCMC",08:00 - 22:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrow5rLwItEBolkFJX8f2WYDZLwXdG-gg5Yw&s,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c9/c5/46/caption.jpg?w=1200&h=-1&s=1,4.3,1600,"""Great western food options.""","""Open air, can be hot.""","""Pet friendly location."""
